track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,45,141381703,43,147,263,10,826,125,80,89,83,31,0,8,4,311.5
LALA,Myke Towers,1,2023,3,23,1474,58,133716286,48,48,126,14,382,92,71,61,74,7,0,10,4,142.5
vampire,Olivia Rodrigo,1,2023,6,30,1397,91,140003974,94,113,207,14,949,138,51,32,53,17,0,31,6,320.75
Cruel Summer,Taylor Swift,1,2019,8,23,7858,125,800840817,116,100,207,12,548,170,55,58,72,11,0,11,15,216.75
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,87,303236322,84,50,133,15,425,144,65,23,80,14,63,11,6,155.75
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,88,183706234,67,91,213,17,946,141,92,66,58,19,0,8,24,316.75
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,43,725980112,34,50,222,13,418,148,67,83,76,48,0,8,3,175.75
Columbia,Quevedo,1,2023,7,7,714,30,58149378,25,43,89,13,194,100,67,26,71,37,0,11,4,84.75
fukumean,Gunna,1,2023,5,15,1096,48,95217315,60,83,210,11,953,130,85,22,62,12,0,28,9,314.25
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,66,553634067,49,44,110,13,339,170,81,56,48,21,0,8,33,126.5
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,54,505671438,41,40,205,12,251,83,57,56,72,23,0,27,5,127
Super Shy,NewJeans,1,2023,7,7,422,21,58255150,37,55,202,5,168,150,78,52,82,18,0,15,7,107.5
Flowers,Miley Cyrus,1,2023,1,12,12211,745,1316855716,300,115,215,58,"1,021",118,71,65,68,6,0,3,7,352.25
